time	GTPgS_C	KCNQsites_M	PIP2_M	GGDPbS_M	ATP_C	oxoM_EX	GDPbS_C	GGTPMg_M	GDP_C	GGDPAlF4Mg_M	ip3_C	AlF4_C	G_M	GGTP_M	GGDPAlF4_M	GGTPgS_M	PI_M	PIP_M	PIP2xKCNQ_M	GGTPgSMg_M	GGDP_M	Mg2_C	GTP_C
50.0	0.0	18.627712231466337	1166.4496308682321	0.0	2997.494516994	8.585618223645224e-23	0.0	0.11163869887213386	0.24423862463948756	0.0	0.023529122803862344	0.0	0.004641608685171215	0.031775834493775766	0.0	0.0	199257.10033286217	422.5110506708278	21.372287768533603	0.0	200.06494385795267	2100.0	97.0591764178785
51.0	0.0	18.5402420701852	1176.0174073881774	0.0	2997.457001827191	8.585702200832722e-23	0.0	0.11163869267286089	0.24443815060670307	0.0	0.02374470254665193	0.0	0.004640441613403695	0.03177583273638266	0.0	0.0	199242.27189231396	420.32956770335454	21.45975792981474	0.0	200.06494503298111	2100.0	97.08358145218722
52.0	0.0	18.45570676517572	1185.368127989193	0.0	2997.4196011840127	8.585814625181216e-23	0.0	0.11163868651812939	0.24463767657316604	0.0	0.023955340182087198	0.0	0.004639284805864715	0.03177583099158323	0.0	0.0	199227.44460161394	418.30753358260387	21.54429323482422	0.0	200.0649461976882	2100.0	97.10778395625807
53.0	0.0	18.373929879151678	1194.512366709798	0.0	2997.382306719184	8.585937706349074e-23	0.0	0.11163868040740381	0.24483720253886013	0.0	0.02416118124918174	0.0	0.0046381381673693675	0.031775829259246366	0.0	0.0	199212.6184605341	416.4355273636169	21.62607012084826	0.0	200.06494735216972	2100.0	97.13178561083024
54.0	0.0	18.294747993100195	1203.4601038736755	0.0	2997.345110577836	8.586058686989843e-23	0.0	0.11163867434029474	0.2450367285037692	0.0	0.024362379847389856	0.0	0.004637001603698783	0.03177582753924243	0.0	0.0	199197.79346885646	414.7046706983952	21.705252006899745	0.0	200.06494849652051	2100.0	97.15558808269492
55.0	0.0	18.218010125018676	1212.220750801308	0.0	2997.308005374999	8.586204306661898e-23	0.0	0.11163866831616953	0.24523625446787717	0.0	0.02455911325189336	0.0	0.004635875021589552	0.031775825831443456	0.0	0.0	199182.9696263725	413.1066051767779	21.781989874981264	0.0	200.06494963083455	2100.0	97.17919302481113
56.0	0.0	18.143575475924784	1220.80319945973	0.0	2997.2709841533924	8.586288416290624e-23	0.0	0.11163866233501826	0.24543578043116815	0.0	0.024751540078985574	0.0	0.00463475832872145	0.031775824135722844	0.0	0.0	199168.14693288243	411.63344576526816	21.856424524075155	0.0	200.06495075520425	2100.0	97.20260207642043
57.0	0.0	18.071315025881432	1229.2158273170714	0.0	2997.234040380861	8.586360633849206e-23	0.0	0.11163865639606217	0.24563530639362635	0.0	0.024939848551137105	0.0	0.004633651433708294	0.031775822451955656	0.0	0.0	199153.3253881951	410.27777793215677	21.928684974118507	0.0	200.064951869722	2100.0	97.22581686316084
58.0	0.0	18.001108005817667	1237.4665524153147	0.0	2997.197167902709	8.586387290253096e-23	0.0	0.11163865049899255	0.2458348323552362	0.0	0.02512420504599419	0.0	0.0046325542460852135	0.03177582078001834	0.0	0.0	199138.50499212707	409.03260507422306	21.998891994182273	0.0	200.06495297447864	2100.0	97.24883899717963
59.0	0.0	17.93284232296841	1245.5628350868294	0.0	2997.1603609407284	8.586387526099959e-23	0.0	0.11163864464324366	0.24603435831598217	0.0	0.02530478882215733	0.0	0.004631466676299573	0.031775819119788926	0.0	0.0	199123.68574450238	407.89134740070006	22.06715767703153	0.0	200.0649540695644	2100.0	97.27167007724537
60.0	0.0	17.86641374750804	1253.511723493771	0.0	2997.123614055515	8.586376662093582e-23	0.0	0.1116386388283085	0.24623388427584897	0.0	0.025481767655170923	0.0	0.004630388635699453	0.03177581747114683	0.0	0.0	199108.86764515197	406.8478003606119	22.1335862524919	0.0	200.06495515506856	2100.0	97.29431168885891
61.0	0.0	17.801725683840576	1261.319866179767	0.0	2997.0869221361286	8.586364223768919e-23	0.0	0.11163863305386944	0.24643341023482135	0.0	0.025655303084886883	0.0	0.004629320036524312	0.03177581583397269	0.0	0.0	199094.05069391345	405.89612320468433	22.198274316159363	0.0	200.06495623107935	2100.0	97.3167654043635
62.0	0.0	17.738688050868138	1268.9935311138624	0.0	2997.0502803837253	8.586355114442386e-23	0.0	0.11163862731943872	0.24663293619288426	0.0	0.025825552410697974	0.0	0.004628260791894419	0.03177581420814886	0.0	0.0	199079.23489063067	405.0308209178583	22.2613119491318	0.0	200.06495729768423	2100.0	97.33903278305392
63.0	0.0	17.677216722262436	1276.5386411834083	0.0	2997.013684282283	8.58634822118334e-23	0.0	0.11163862162466225	0.24683246215002275	0.0	0.02599266139214936	0.0	0.004627210815800019	0.03177581259355896	0.0	0.0	199064.4202351531	404.24671189913084	22.322783277737503	0.0	200.0649583549697	2100.0	97.3611153712849
64.0	0.0	17.6172325171922	1283.9608084118352	0.0	2996.9771295699875	8.586345673336179e-23	0.0	0.11163861596937369	0.247031988106222	0.0	0.026156760104052622	0.0	0.0046261700230901676	0.03177581099008776	0.0	0.0	199049.6067273354	403.5388963821692	22.38276748280774	0.0	200.06495940302116	2100.0	97.38301470257838
65.0	0.0	17.55866309318049	1291.265280990744	0.0	2996.9406122838927	8.586346363091081e-23	0.0	0.11163861035290702	0.24723151406146737	0.0	0.02631799266714185	0.0	0.0046251383294700354	0.031775809397621715	0.0	0.0	199034.79436703815	402.90280567375135	22.441336906819455	0.0	200.06496044192372	2100.0	97.40473229773005
66.0	0.0	17.501439519133136	1298.457052209296	0.0	2996.904128668582	8.586348370002261e-23	0.0	0.11163860477487733	0.2474310400157443	0.0	0.026476481081336205	0.0	0.004624115651482208	0.03177580781604831	0.0	0.0	199019.98315412606	402.3341013809182	22.498560480866807	0.0	200.0649614717613	2100.0	97.42626966491495
67.0	0.0	17.445495789903948	1305.540880413931	0.0	2996.8676751595794	8.586349694977591e-23	0.0	0.11163859923515258	0.2476305659690384	0.0	0.026632325676989282	0.0	0.004623101906496857	0.031775806245256034	0.0	0.0	199005.17308846762	401.8286570922379	22.554504210095995	0.0	200.0649624926168	2100.0	97.44762829979227
68.0	0.0	17.390774508488544	1312.5211670518902	0.0	2996.8312484871713	8.586349248119147e-23	0.0	0.1116385937331223	0.24783009192133534	0.0	0.026785653816391124	0.0	0.004622097012716671	0.031775804685135405	0.0	0.0	198990.36416993724	401.3826728894379	22.609225491511395	0.0	200.06496350457275	2100.0	97.46880968560912
69.0	0.0	17.337220158815605	1319.402119099281	0.0	2996.794845538901	8.5863473386801e-23	0.0	0.11163858826835454	0.24802961787262098	0.0	0.026936572270869225	0.0	0.004621100889152205	0.03177580313557789	0.0	0.0	198975.55639841236	400.9925236370858	22.662779841184335	0.0	200.0649645077106	2100.0	97.48981529330355
70.0	0.0	17.28477894875142	1326.1877634862535	0.0	2996.7584633477486	8.586346400011795e-23	0.0	0.11163858284057586	0.2482291438228813	0.0	0.027085168915947457	0.0	0.004620113455612661	0.0317758015964759	0.0	0.0	198960.7497737733	400.65474592192214	22.71522105124852	0.0	200.06496550211105	2100.0	97.5106465816068
71.0	0.0	17.233401336213184	1332.8818081866402	0.0	2996.7220992071498	8.586343639519978e-23	0.0	0.11163857744935576	0.24842866977210235	0.0	0.027231547162257987	0.0	0.0046191346327107054	0.03177580006772372	0.0	0.0	198945.94429590556	400.3661649308845	22.766598663786755	0.0	200.06496648785392	2100.0	97.53130499714446
72.0	0.0	17.183040050381027	1339.487789887168	0.0	2996.685750549369	8.586339774425417e-23	0.0	0.11163857209430075	0.24862819572027034	0.0	0.02737580129351643	0.0	0.004618164341841292	0.031775798549216736	0.0	0.0	198931.13996469727	400.1237602458318	22.816959949618912	0.0	200.06496746501836	2100.0	97.55179197453702
73.0	0.0	17.133649652979315	1346.0090931603008	0.0	2996.649414929586	8.586339619420839e-23	0.0	0.11163856677505984	0.2488277216673716	0.0	0.027518016333938047	0.0	0.004617202505171922	0.03177579704085149	0.0	0.0	198916.33678003898	399.9246482715403	22.866350347020624	0.0	200.06496843368265	2100.0	97.5721089364995
74.0	0.0	17.08519178936906	1352.4488600429133	0.0	2996.6130901036654	8.586340275606395e-23	0.0	0.11163856149127202	0.2490272476133926	0.0	0.02765827358125118	0.0	0.004616249045646771	0.03177579554252523	0.0	0.0	198901.53474182525	399.7661680402745	22.91480821063088	0.0	200.06496939392426	2100.0	97.59225729394018
75.0	0.0	17.037629684515867	1358.810074007212	0.0	2996.5767739554867	8.586340492904597e-23	0.0	0.11163855624258874	0.2492267735583199	0.0	0.02779665145377801	0.0	0.004615303886967235	0.031775794054136434	0.0	0.0	198886.733849953	399.6458010001763	22.962370315484073	0.0	200.06497034582	2100.0	97.61223844605865
76.0	0.0	16.990927298556972	1365.0955797624983	0.0	2996.540464480196	8.586341645521951e-23	0.0	0.11163855102867608	0.2494262995021402	0.0	0.027933226274773387	0.0	0.0046143669535817725	0.031775792575584876	0.0	0.0	198871.9341043213	399.5611525171933	23.009072701442967	0.0	200.06497128944585	2100.0	97.63205378044294
77.0	0.0	16.945049549978382	1371.3080358083012	0.0	2996.5041598229222	8.586343951393109e-23	0.0	0.11163854584917307	0.24962582544484033	0.0	0.028068064961344178	0.0	0.004613438170687067	0.0317757911067719	0.0	0.0	198857.13550483217	399.5099946094458	23.054950450021558	0.0	200.0649722248771	2100.0	97.65170467316594
78.0	0.0	16.89996339369665	1377.4499641875584	0.0	2996.4678582392808	8.58634719132079e-23	0.0	0.11163854070373058	0.24982535138640713	0.0	0.028201230881930283	0.0	0.004612517464212847	0.03177578964759992	0.0	0.0	198842.3380513897	399.49022233312024	23.10003660630329	0.0	200.06497315218817	2100.0	97.67119248888082
79.0	0.0	16.85563813469227	1383.5237688549485	0.0	2996.431558080736	8.586350458847616e-23	0.0	0.11163853559202071	0.25002487732682765	0.0	0.02833278516289376	0.0	0.004611604760811966	0.03177578819797223	0.0	0.0	198827.54174389978	399.4998376102626	23.14436186530767	0.0	200.06497407145292	2100.0	97.69051858091599
80.0	0.0	16.81204764968514	1389.5317038272105	0.0	2996.3952578222443	8.586353820159527e-23	0.0	0.1116385305136999	0.2502244032660891	0.0	0.028462785521662586	0.0	0.004610699987862012	0.031775786757792975	0.0	0.0	198812.74658227072	399.5369797571214	23.1879523503148	0.0	200.0649749827444	2100.0	97.70968429136893
