time	extracellular	cytosol	intravesicular	EC	Z	A	Y	GP	v0	v1	beta	Vm2	K2	Vm3	m	Ka	Ky	Kz	Kf	K	V4	Vm5	n	K5	Kd	epsilon	Vpm1	gamma	Ka5	K1	Ka6	Vpm2	alpha	G	Ka1	Kp2	Ka2	p	vin	R2	R3	Rkf	Rkz	R4	R5	R6	R7	R8
40.0	1.0	1.0	1.0	1000.0	0.1416365525330356	0.3982994095032574	0.8903431082439748	0.6012329517032674	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.004052638947866	1.3297552651552607	0.8903431082439748	1.416365525330356	1.0	0.0635738390326785	0.03982994095032574	1.2699414487007368	2.8294003238175804
41.0	1.0	1.0	1.0	1000.0	0.3266415505653672	0.24165562291282416	0.521557240461003	0.9127545017055118	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.485837842798932	3.5499502413876587	0.521557240461003	3.266415505653672	1.0	0.5094961901707655	0.024165562291282416	1.817654842812499	2.974155978132638
42.0	1.0	1.0	1.0	1000.0	0.693666003171514	0.2678820528256682	0.6176024527016856	0.9929374653297588	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.877843329841101	9.088586515386854	0.6176024527016856	6.93666003171514	1.0	1.8086918701946264	0.02678820528256682	3.0252080528194716	2.99806140747455
43.0	1.0	1.0	1.0	1000.0	0.30824625722567994	0.6659846025058175	1.4398890191690494	0.1653193046838436	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.4286571577141025	5.360060325257184	1.4398890191690494	3.0824625722567993	1.0	2.40317879791432	0.06659846025058175	2.9003016272596285	2.0562156459243313
44.0	1.0	1.0	1.0	1000.0	0.18727499403956974	0.7018296863478541	1.4243497070977922	0.16758266053059412	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.668794329510326	2.397182620447798	1.4243497070977922	1.8727499403956973	1.0	0.4538886753114023	0.07018296863478542	1.575004014054994	2.0667362326630676
45.0	1.0	1.0	1.0	1000.0	0.14805886180295	0.5650497427652607	1.1917582178286912	0.3373879369647625	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.120384755040361	1.5439377212679746	1.1917582178286912	1.4805886180295	1.0	0.13377597896636037	0.056504974276526065	1.394202030842153	2.545521030392326
46.0	1.0	1.0	1.0	1000.0	0.14373348787210524	0.38993881212857334	0.8735697612720316	0.615848166338706	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.043009149053509	1.35667147110239	0.8735697612720316	1.4373348787210525	1.0	0.06493112946559462	0.03899388121285734	1.2646040674675143	2.8390083882063624
47.0	1.0	1.0	1.0	1000.0	0.3426989447985098	0.23754242731097874	0.5087277486111783	0.9231453117987509	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.529199689534176	3.6849341911869526	0.5087277486111783	3.426989447985098	1.0	0.5610467932386457	0.023754242731097875	1.9074405344418761	2.9774651692242613
48.0	1.0	1.0	1.0	1000.0	0.6928586177925065	0.27615752177541486	0.6551179823413747	0.9913252449079409	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.8775642795093885	9.434526499569262	0.6551179823413747	6.928586177925064	1.0	1.9132367638760333	0.02761575217754149	3.5034544366787035	2.9976153520320725
49.0	1.0	1.0	1.0	1000.0	0.2967846089699669	0.6787459146449969	1.4515767822966412	0.15821986887464867	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.388261372693148	5.075314172621945	1.4515767822966412	2.967846089699669	1.0	2.200582756282166	0.06787459146449969	2.7048923515281342	2.0220193339955705
50.0	1.0	1.0	1.0	1000.0	0.1847193178546757	0.6972609093083317	1.4162711830005015	0.1723322929467501	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.6401103298576665	2.339082673386689	1.4162711830005015	1.8471931785467572	1.0	0.4269103111675049	0.06972609093083318	1.561650464681265	2.088245064772668
