time	cell	C	M	X	MI	XI	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
30.0	1.0	0.43340798593896745	0.6672098211083293	0.5655721081186794	0.33279017889166196	0.4344278918813096	1.392985679792459	0.6672098211083293	3.0	1.0	0.5	0.025	0.004334079859389674	0.1351561264273632	1.3723665829856329	1.4888427693787123	0.6596180201162277	0.49561843285988316
31.0	1.0	0.30783734749647806	0.44142371990660684	0.6360379081400263	0.5585762800933841	0.363962091859963	1.1431905758646055	0.44142371990660684	3.0	1.0	0.5	0.025	0.0030783734749647807	0.14930896681252712	1.1330482879770176	1.4831998174255412	0.4354417541485345	0.4961000746316957
32.0	1.0	0.20571471150816792	0.008484721835004205	0.364657347961616	0.9915152781649877	0.6353426520383736	0.874495209552339	0.008484721835004205	3.0	1.0	0.5	0.025	0.002057147115081679	0.0830864995839481	0.8701074433599196	0.9438150010235157	0.008418470416267745	0.4932369801012055
33.0	1.0	0.19736896361723727	0.006425674662073608	6.463856881810948E-5	0.9935743253379181	0.9999353614311746	0.8490582772431776	0.006425674662073608	3.0	1.0	0.5	0.025	0.001973689636172373	1.4672802323097763E-5	0.8448069248115204	0.8435836200644234	0.006393704075164802	0.006381360480100554
34.0	1.0	0.22026435743479406	0.007742527326213991	7.80980569795909E-5	0.9922574726737747	0.9999219019430123	0.9174313090512802	0.007742527326213991	3.0	1.0	0.5	0.025	0.0022026435743479405	1.7899261589584794E-5	0.9128315375068689	0.9114197436664732	0.007704004296159398	0.007689695640304645
35.0	1.0	0.24292846980585334	0.00926916321166814	9.378947335145128E-5	0.9907308367883212	0.9999062105266394	0.9809630927295203	0.00926916321166814	3.0	1.0	0.5	0.025	0.0024292846980585336	2.1663813414717644E-5	0.9760372480308989	0.9743910425057638	0.009223043667801403	0.00920625732984432
36.0	1.0	0.26536299927348816	0.01105895826290457	1.1230704073775161E-4	0.9889410417370862	0.9998876929592536	1.0401456545144494	0.01105895826290457	3.0	1.0	0.5	0.025	0.0026536299927348815	2.6108967565498576E-5	1.034913223158679	1.0329709513396867	0.011003932421010052	0.010983988231030105
37.0	1.0	0.287569460408278	0.013184495590925662	1.3447000455965374E-4	0.9868155044090671	0.9998655299954332	1.095406087454945	0.013184495590925662	3.0	1.0	0.5	0.025	0.00287569460408278	3.1431490793158695E-5	1.089883860374478	1.0875607347754748	0.013118892307713301	0.013094828136130698
38.0	1.0	0.3095491190609284	0.015746643819660844	1.6143644417843567E-4	0.984253356180329	0.999838563555817	1.147116753409614	0.015746643819660844	3.0	1.0	0.5	0.025	0.003095491190609284	3.790975774883226E-5	1.141318861766169	1.138495745856854	0.015668289721844683	0.015638712781256777
39.0	1.0	0.33130289322481316	0.01888890655760883	1.948895033013502E-4	0.9811110934423825	0.9998051104966934	1.1956035372604579	0.01888890655760883	3.0	1.0	0.5	0.025	0.0033130289322481315	4.594856571645478E-5	1.189541322033334	1.1860467438342763	0.01879491367102672	0.018757810265020842
40.0	1.0	0.35283119662549395	0.022820546559536706	2.3734920337113027E-4	0.9771794534404526	0.9997626507966243	1.2411525212313508	0.022820546559536706	3.0	1.0	0.5	0.025	0.0035283119662549395	5.6154235617562887E-5	1.2348341620105192	1.230415073479962	0.022706984682304088	0.022659287566537997
41.0	1.0	0.3741336841898554	0.027854278501971422	2.9271386124337355E-4	0.9721457214980151	0.9997072861387518	1.2840153318308563	0.027854278501971422	3.0	1.0	0.5	0.025	0.003741336841898554	6.946508235240571E-5	1.277445097199616	1.2717192298242082	0.02771565962816481	0.027652530338623738
42.0	1.0	0.3952088251197523	0.034467367220871487	3.6721850808080485E-4	0.9655326327791158	0.9996327814919106	1.3244133012212602	0.034467367220871487	3.0	1.0	0.5	0.025	0.003952088251197523	8.738253281284792E-5	1.3175901751537276	1.3099695893565004	0.03429582510192089	0.03420938681068472
