time	compartment	Enz	Ts	Tt	To	Tomax	Tex	e_val	f_val	Ts_norm	To_norm	Tt_norm	Enz_norm	Enzyme_synthesis	Enzyme_dilution	tryptophan_synthesis	tryptophan_consumption	tryptophan_dilution
39.0	1.0	0.4870705501779391	0.18361190442838007	13.644274821145434	13.460662916717054	100.0	0.14	0.9	380.0	0.002239169566199757	0.1641544258136226	0.16639359537982237	0.4870705501779391	0.014887133587391034	0.004870705501779391	11.975046682920317	11.96599364545139	0.0018361190442838008
40.0	1.0	0.4970300062961276	0.1909450912161741	13.651573042338457	13.460627951122284	100.0	0.14	0.9	380.0	0.0023285986733679767	0.1641539994039303	0.16648259807729826	0.4970300062961276	0.014872915800847236	0.004970300062961276	12.219800164188136	12.2104801611763	0.001909450912161741
41.0	1.0	0.5068760385260952	0.19847491987063354	13.65906696797301	13.460592048102376	100.0	0.14	0.9	380.0	0.0024204258520808966	0.1641535615622241	0.16657398741430499	0.5068760385260952	0.014858337733472449	0.005068760385260952	12.46175777307693	12.45215884195856	0.0019847491987063353
42.0	1.0	0.5166094108444634	0.2062087571603055	13.666763929707386	13.46055517254708	100.0	0.14	0.9	380.0	0.0025147409409793354	0.16415311186033024	0.16666785280130958	0.5166094108444634	0.014843386777415715	0.005166094108444635	12.700938082883683	12.691058078231412	0.002062087571603055
43.0	1.0	0.5262308674545962	0.21415362864459278	13.67467091961883	13.460517290974238	100.0	0.14	0.9	380.0	0.002611629617616985	0.16415264988992972	0.16676427950754671	0.5262308674545962	0.01482805110714251	0.005262308674545963	12.937359180971457	12.92718533853348	0.002141536286445928
44.0	1.0	0.53574113255773	0.22231716785852063	13.682795534862569	13.460478367004049	100.0	0.14	0.9	380.0	0.0027111849738843978	0.16415217520736644	0.16686336018125084	0.53574113255773	0.014812317851221925	0.005357411325577301	13.171038648742613	13.160557087096594	0.002223171678585206
45.0	1.0	0.5451409099949096	0.23070787394013598	13.691146234070978	13.460438360130842	100.0	0.14	0.9	380.0	0.002813510657806536	0.1641516873186688	0.16696519797647533	0.5451409099949096	0.014796172611195434	0.005451409099949096	13.401993548028138	13.391203638188074	0.0023070787394013598
46.0	1.0	0.554430882943889	0.23933335824076063	13.699730592324112	13.460397234083352	100.0	0.14	0.9	380.0	0.0029186994907409833	0.16415118578150428	0.16706988527224528	0.554430882943889	0.014779602846222217	0.0055443088294388895	13.630240441550505	13.619120523827986	0.002393333582407606
47.0	1.0	0.5636117136422035	0.24820290197950337	13.70855784660944	13.460354944629936	100.0	0.14	0.9	380.0	0.0030268646582866264	0.16415067005646264	0.16717753471474925	0.5636117136422035	0.014762592963827635	0.0056361171364220355	13.855795344765582	13.844338182735253	0.002482029019795034
48.0	1.0	0.5726840429296985	0.2573256342601947	13.717637082526117	13.460311448265923	100.0	0.14	0.9	380.0	0.0031381174909779846	0.16415013961299907	0.16728825710397704	0.5726840429296985	0.014745127838610346	0.0057268404292969855	14.078673743590775	14.066871337557128	0.002573256342601947
