Values[V]	Values[m]	Values[h]	Values[n]	Values[V_neg]	Values[E]	Values[i_Na]	Values[i_K]	Values[i_L]	Values[V_Na]	Values[V_K]	Values[V_L]	Values[alpha_m]	Values[beta_m]	Values[auxiliary alpha_h]	Values[beta_h]	Values[alpha_n]	Values[beta_n]
-0.0036200397026700565	0.052955082976691194	0.5959943645892245	0.3177324119133659	0.0036200397026700565	-75.00362003970267	1.2213229755828374	-4.404136985161697	3.182813988089199	-115.0	12.0	-10.613	0.22361952649481812	3.9991956276204497	0.06998733100763163	0.047442229987369695	0.05820993263780985	0.12499434381593812
-0.0036200863770748217	0.05295508306309952	0.5959943403728806	0.3177324083205994	0.0036200863770748217	-75.00362008637707	1.221322931441141	-4.404136803087057	3.1828139740868777	-115.0	12.0	-10.613	0.22361952721436903	3.9991956172504457	0.06998733084430078	0.04744223019829815	0.05820993279592011	0.12499434374301266
-0.0036202261550390947	0.052955083820086665	0.5959943184606633	0.317732405580622	0.0036202261550390947	-75.00362022615504	1.221322937429726	-4.404136702454733	3.182813932153488	-115.0	12.0	-10.613	0.22361952936924123	3.999195586194922	0.06998733035516645	0.04744223082997527	0.05820993326942011	0.12499434352461947
-0.003620404199731163	0.05295508489220165	0.5959942983519423	0.3177324037117648	0.003620404199731163	-75.00362040419974	1.2213229685113889	-4.404136664161412	3.1828138787400806	-115.0	12.0	-10.613	0.2236195321140483	3.999195546637392	0.06998732973212282	0.04744223163458532	0.05820993387254923	0.12499434324643723
-0.0036205789890759186	0.0529550860003526	0.5959942797820262	0.3177324026110756	0.0036205789890759186	-75.00362057898907	1.2213230052743047	-4.404136667264468	3.1828138263032772	-115.0	12.0	-10.613	0.22361953480866967	3.9991955078031274	0.06998732912047084	0.047442232424484	0.05820993446465084	0.12499434297334124
-0.003620723817595621	0.05295508695600027	0.5959942626488727	0.3177324021051375	0.003620723817595621	-75.00362072381759	1.22132303474794	-4.404136692350614	3.182813782854721	-115.0	12.0	-10.613	0.22361953704140317	3.999195475625485	0.06998732861366279	0.047442233078985326	0.058209934955259675	0.12499434274705691
-0.003620824669344535	0.05295508765233388	0.5959942469415974	0.3177324019954951	0.003620824669344535	-75.00362082466934	1.2213230496685956	-4.40413672327411	3.1828137525991966	-115.0	12.0	-10.613	0.22361953859617362	3.999195453218493	0.06998732826074557	0.047442233534749204	0.05820993529689653	0.12499434258948319
-0.0036208794519274013	0.05295508806115191	0.5959942326740729	0.31773240210206793	0.0036208794519274013	-75.00362087945193	1.2213230481356558	-4.404136749282768	3.1828137361644213	-115.0	12.0	-10.613	0.22361953944072338	3.9991954410470343	0.06998732806904123	0.04744223378231971	0.05820993548247338	0.12499434250388927
-0.0036208937966472317	0.05295508820691393	0.5959942198546825	0.3177324022775455	0.0036208937966472317	-75.00362089379665	1.2213230317988533	-4.4041367642751394	3.1828137318610055	-115.0	12.0	-10.613	0.22361953966186726	3.9991954378599597	0.0699873280188438	0.04744223384714562	0.05820993553106635	0.12499434248147666
-0.0036208772499697114	0.05295508814384486	0.5959942084585539	0.31773240241990636	0.0036208772499697114	-75.00362087724997	1.221323004257661	-4.404136766097293	3.182813736825009	-115.0	12.0	-10.613	0.22361953940677723	3.99919544153626	0.0699873280767467	0.047442233772368766	0.05820993547501422	0.12499434250732967
