HO*	LOO*	O2*-	Cu(II)ZnSOD	L*	H2O2	LOOH	Values[HO2*]	Values[Cu(I)ZnSOD]
4.507335488668971e-23	2.997336944809056e-08	4.122422708534865e-11	5e-06	7.007526013894134e-12	9.71194274407286e-10	5.394871152725402e-07	4.1224227085348644e-13	5e-06
4.507335480545864e-23	3.02261156937042e-08	4.122422702026886e-11	5e-06	7.0665001586781436e-12	9.711942728740351e-10	5.442732823951245e-07	4.1224227020268856e-13	5e-06
4.50733547251008e-23	3.047614490608506e-08	4.1224226955888686e-11	5e-06	7.124840328989387e-12	9.711942713572663e-10	5.490091492151194e-07	4.122422695588868e-13	5e-06
4.507335464560877e-23	3.072348011691714e-08	4.122422689220219e-11	5e-06	7.1825518988847224e-12	9.711942698568399e-10	5.536951255642211e-07	4.1224226892202183e-13	5e-06
4.5073354566914825e-23	3.0968332086387385e-08	4.12242268291551e-11	5e-06	7.239684045763858e-12	9.711942683714774e-10	5.583352753610127e-07	4.12242268291551e-13	5e-06
4.5073354489077204e-23	3.1210519589710965e-08	4.122422676679409e-11	5e-06	7.296194483813231e-12	9.711942669022781e-10	5.629260323430082e-07	4.1224226766794094e-13	5e-06
4.5073354412094326e-23	3.145004755442389e-08	4.122422670511789e-11	5e-06	7.352084362786082e-12	9.711942654492121e-10	5.674674536538279e-07	4.122422670511789e-13	5e-06
4.5073354335964234e-23	3.168692205606964e-08	4.122422664412493e-11	5e-06	7.40735510030423e-12	9.711942640122426e-10	5.719596186879101e-07	4.1224226644124926e-13	5e-06
4.507335426068462e-23	3.192115031819918e-08	4.122422658381335e-11	5e-06	7.462008381858068e-12	9.71194262591326e-10	5.764026290905129e-07	4.122422658381335e-13	5e-06
4.507335418625278e-23	3.215274071237095e-08	4.1224226524181e-11	5e-06	7.516046160806573e-12	9.711942611864115e-10	5.807966087577123e-07	4.1224226524180996e-13	5e-06
4.507335411266566e-23	3.238170275815085e-08	4.122422646522542e-11	5e-06	7.569470658377295e-12	9.711942597974412e-10	5.851417038364032e-07	4.122422646522542e-13	5e-06
4.5073354039919837e-23	3.260804712311227e-08	4.1224226406943875e-11	5e-06	7.622284363666362e-12	9.711942584243502e-10	5.894380827242996e-07	4.122422640694387e-13	5e-06
4.5073353968011503e-23	3.2831785622836065e-08	4.122422634933331e-11	5e-06	7.674490033638482e-12	9.71194257067067e-10	5.936859360699337e-07	4.1224226349333306e-13	5e-06
4.5073353896936507e-23	3.305293122091057e-08	4.12242262923904e-11	5e-06	7.726090693126936e-12	9.711942557255132e-10	5.978854767726566e-07	4.122422629239039e-13	5e-06
4.50733538266903e-23	3.3271498028931615e-08	4.122422623611149e-11	5e-06	7.777089634833588e-12	9.71194254399603e-10	6.020369399826383e-07	4.1224226236111485e-13	5e-06
4.507335375726799e-23	3.348750130650248e-08	4.1224226180492675e-11	5e-06	7.827490419328874e-12	9.711942530892439e-10	6.061405831008673e-07	4.1224226180492677e-13	5e-06
