calcium concentration	Values[n]	Values[h]	Values[V]	Values[phik]	Values[phia]	Values[phih]	Values[phif]	Values[phical]	Values[cinf]	Values[ica]	Values[isk]	Values[ibk]	Values[ikdr]	Values[ia]	Values[ik]
0.28525199847829597	0.04261932259652239	0.660806192375119	-66.98598969681748	0.0020281541539919398	0.009025821350607472	0.8017388673286783	0.0002269950552350497	0.019541131539155012	0.24555337299092225	-4.572077225807487	3.3453743439217996	0.0	1.3662067616127593	0.0	4.711581105534559
0.28486445493155443	0.041683130184958436	0.6676894056571276	-66.99793284986593	0.002025738248264712	0.009015145230975102	0.8021182752608963	0.00022651156695090586	0.019522072141089142	0.24504999898269517	-4.568084170906772	3.3335411298996793	0.0	1.3342048270712707	0.0	4.6677459569709505
0.28447748096425574	0.040768482876144235	0.6742523497831118	-67.005980682567	0.002024111922390293	0.009007958240169976	0.8023736287537815	0.00022618635160775525	0.019509239339184626	0.24454737832083945	-4.565395362504425	3.3233579927514576	0.0	1.303616158617334	0.0	4.626974151368792
0.2840910947647367	0.03987490155455517	0.6805047381245302	-67.01030361692361	0.002023238871168799	0.009004100055644945	0.802510690616674	0.00022601185329746624	0.019502349547912547	0.24404553595799325	-4.56395168368924	3.314744551114181	0.0	1.2743534269038266	0.0	4.589097978018008
0.2837053136411151	0.03900191735312762	0.6864560786613695	-67.01106155554686	0.0020230858381182727	0.009003423770190684	0.802534714241453	0.00022598127243815143	0.019501141808870835	0.24354449569184655	-4.563698609202468	3.3076253737648265	0.0	1.2463356677991413	0.0	4.5539610415639675
0.2833201540887429	0.03814907148416093	0.692115660267062	-67.00840453152261	0.002023622360384772	0.009005794772548658	0.8024504875234174	0.00022608849464396803	0.019505375971880387	0.24304428025230163	-4.5645858445144425	3.30192966679619	0.0	1.2194877871977614	0.0	4.521417453993951
0.2829356318524458	0.03731591506862412	0.697492541667864	-67.00247331479426	0.002024820539662756	0.009011089741709864	0.8022623723662067	0.00022632802796482835	0.019514831052485464	0.24254491138189155	-4.566566998922298	3.297590981933817	0.0	1.1937401061767696	0.0	4.491331088110586
0.2825517619839641	0.036502008964327495	0.7025955427885424	-66.99339997801927	0.0020266548362172883	0.009019195742238634	0.8019743402412283	0.00022669494743488073	0.019529303747049042	0.24204640990999293	-4.569599289141478	3.2945469445397007	0.0	1.1690279431045014	0.0	4.463574887644202
0.2821685588950841	0.0357069235935823	0.7074332381550886	-66.9813084242692	0.0020291018835413284	0.009030009409881277	0.8015900042078662	0.0002271848460346112	0.019548607089490296	0.2415487958214666	-4.57364327040104	3.292739000108572	0.0	1.145291229660487	0.0	4.438030229769058
0.28178603640683914	0.0349302387707656	0.7120139521054792	-66.9663148790876	0.0020321403214287543	0.009043436217786518	0.8011126477648921	0.0002277937912855254	0.019572569235133282	0.2410520883202132	-4.578662592298684	3.292112178015027	0.0	1.1224741579304673	0.0	4.414586335945494
0.2814042077951431	0.03417154353020964	0.7163457555690268	-66.94852834916223	0.00203575064553315	0.009059389814921631	0.8005452508595484	0.00022851828680816325	0.01960103235897169	0.24055630588811597	-4.5846237770120934	3.292614871390321	0.0	1.1005248559954066	0.0	4.393139727385728
0.28102308583317465	0.03343043595475553	0.720436464212244	-66.92805104975929	0.0020399150717081145	0.009077791429247627	0.7998905133457586	0.00022935523826438575	0.01963385165705662	0.24006146633977946	-4.591496017719435	3.294198632064868	0.0	1.0793950896443127	0.0	4.373593721709181
0.2806426828308425	0.03270652300533269	0.7242936377390238	-66.90497880309604	0.00204461741359388	0.009098569328948621	0.7991508761560905	0.00023030192317641883	0.01967089444072754	0.23956758687349167	-4.599250995262386	3.296817979514477	0.0	1.0590399880207801	0.0	4.355857967535258
0.28026301067151166	0.03199942035170862	0.7279245802464456	-66.8794014092288	0.002049842972187402	0.009121658336201387	0.7983285404085457	0.00023135596420138368	0.019712039315282762	0.23907468411864372	-4.607862711450867	3.300430223002975	0.0	1.0394177912543205	0.0	4.339848014257296
0.2798840808463336	0.0313087522047867	0.7313363414150127	-66.851402991662	0.002055578436134897	0.009146999387968573	0.7974254846679413	0.0002325153054669632	0.0197571754344695	0.23858277418004706	-4.61730733734032	3.304995295871671	0.0	1.0204896182028826	0.0	4.325484914074554
0.27950590448632606	0.030634151150553925	0.7345357184579893	-66.82106231901231	0.002061811791774904	0.009174539139567464	0.7964434805350078	0.00023377819165433476	0.01980620182425625	0.23809187267933982	-4.627563075228749	3.310475601289758	0.0	1.0022192526813511	0.0	4.312694853971109
0.27912849239243614	0.02997525798589452	0.7375292586939568	-66.78845310451686	0.002068532241963794	0.009204229606775747	0.7953841067344858	0.00023514314953417218	0.01985902676921318	0.23760199479378097	-4.638610033075198	3.316835868606104	0.0	0.9845729466215132	0.0	4.301408815227617
0.2787518550637738	0.029331721556436503	0.7403232626349909	-66.75364428477836	0.0020757301328796314	0.009236027842953803	0.7942487618464614	0.00023660897171054378	0.019915567255975975	0.237113155292677	-4.650430110267597	3.3240430196134056	0.0	0.9675192387768397	0.0	4.291562258390245
0.27837600272414637	0.028703198596502676	0.7429237875314603	-66.71670027903903	0.0020833968880934898	0.009269895648069557	0.7930386758093169	0.00023817470235996594	0.019975748468879458	0.23662536857160818	-4.663006893783353	3.3320660440845304	0.0	0.9510287877003916	0.0	4.283094831784922
0.27800094534707037	0.028089353571315912	0.7453366512744778	-66.67768123032178	0.0020915249492501507	0.009305799306740557	0.7917549203132492	0.00023983962477511542	0.020039503333159257	0.23613864868468074	-4.676325563840654	3.3408758839314476	0.0	0.9350742178187613	0.0	4.275950101750209
0.2776266926794042	0.02748985852156037	0.7475674365810199	-66.63664322962629	0.0021001077227852387	0.009343709352780309	0.7903984181888869	0.00024160325054979492	0.020106772101699637	0.23565300937499428	-4.690372808250688	3.3504453254060076	0.0	0.9196299775316297	0.0	4.270075302937637
0.27725325426370884	0.026904392910346863	0.7496214954203062	-66.59363852422761	0.0021091395321820214	0.009383600358068858	0.7889699518826279	0.00024346531026573652	0.0201775019818272	0.23516846410345896	-4.705136744782093	3.360748898824993	0.0	0.9046722083623342	0.0	4.265421107187327
0.27688063945947483	0.02633264347267958	0.7515039536095249	-66.54871571114444	0.002118615575308024	0.009425450743728022	0.787470171103716	0.000245425745556619	0.020251646798873892	0.23468502607614222	-4.720606850888923	3.3717627853018293	0.0	0.8901786242587675	0.0	4.261941409560597
0.2765088574633098	0.025774304067460594	0.7532197155421169	-66.50191991669104	0.002128531886439223	0.009469242611877688	0.7858995997167411	0.000247484702444814	0.020329166693705672	0.2342027082702674	-4.736773900246321	3.383464730034584	0.0	0.8761284002273443	0.0	4.259593130261928
0.27613791732818826	0.0252290755320795	0.7547734690064185	-66.45329296298245	0.0021388853026203364	0.009514961596427448	0.7842586419462705	0.0002496425258602685	0.020410027851682704	0.23372152345899544	-4.753629905589275	3.395833961724082	0.0	0.8625020695498851	0.0	4.258336031273966
